Province,Participant,Audio,Clip,question_s,question_e,answer_s,answer_e
DC,P10BO,IW - P10BO clip 1.wav.mp3,clip 1,,,,
DC,P10BO,IW - P10BO clip 2.wav.mp3,clip 2,,,,
DC,P10BO,IW - P10BO clip 3.wav.mp3,clip 3,,,,
DC,P10BO,IW - P10BO clip 4.wav.mp3,clip 4,,,,
DC,P10BO,IW - P10BO clip 5.wav.mp3,clip 5,,,,
DC,P10BO,IW - P10BO clip 6.wav.mp3,clip 6,,,,
DC,P10BO,IW - P10BO clip 7.wav.mp3,clip 7,,,,
DC,P10BO,IW - P10BO clip 8.wav.mp3,clip 8,,,,
BL,P10CA,IW - P10CA - clip 1.wav.mp3,clip 1,,,,
BL,P10CA,IW - P10CA - clip 10.wav.mp3,clip 10,,,,
BL,P10CA,IW - P10CA - clip 11.wav.mp3,clip 11,,,,
BL,P10CA,IW - P10CA - clip 12.wav.mp3,clip 12,,,,
BL,P10CA,IW - P10CA - clip 13.wav.mp3,clip 13,,,,
BL,P10CA,IW - P10CA - clip 2.wav.mp3,clip 2,,,,
BL,P10CA,IW - P10CA - clip 3.wav.mp3,clip 3,,,,
BL,P10CA,IW - P10CA - clip 4.wav.mp3,clip 4,,,,
BL,P10CA,IW - P10CA - clip 5.wav.mp3,clip 5,,,,
BL,P10CA,IW - P10CA - clip 6.wav.mp3,clip 6,,,,
BL,P10CA,IW - P10CA - clip 7.wav.mp3,clip 7,,,,
BL,P10CA,IW - P10CA - clip 8.wav.mp3,clip 8,,,,
BL,P10CA,IW - P10CA - clip 9.wav.mp3,clip 9,,,,
VC,P10CL,IW-P10CL clip 1.wav.mp3,clip 1,,,,
VC,P10CL,IW-P10CL clip 10.wav.mp3,clip 10,,,,
VC,P10CL,IW-P10CL clip 2.wav.mp3,clip 2,,,,
VC,P10CL,IW-P10CL clip 3.wav.mp3,clip 3,,,,
VC,P10CL,IW-P10CL clip 4.wav.mp3,clip 4,,,,
VC,P10CL,IW-P10CL clip 5.wav.mp3,clip 5,,,,
VC,P10CL,IW-P10CL clip 6.wav.mp3,clip 6,,,,
VC,P10CL,IW-P10CL clip 7.wav.mp3,clip 7,,,,
VC,P10CL,IW-P10CL clip 8.wav.mp3,clip 8,,,,
VC,P10CL,IW-P10CL clip 9.wav.mp3,clip 9,,,,
CL,P10MA,IW - P10MA clip 1.wav.mp3,clip 1,,,,
CL,P10MA,IW - P10MA clip 10.wav.mp3,clip 10,,,,
CL,P10MA,IW - P10MA clip 11.wav.mp3,clip 11,,,,
CL,P10MA,IW - P10MA clip 12.wav.mp3,clip 12,,,,
CL,P10MA,IW - P10MA clip 13.wav.mp3,clip 13,,,,
CL,P10MA,IW - P10MA clip 2.wav.mp3,clip 2,,,,
CL,P10MA,IW - P10MA clip 3.wav.mp3,clip 3,,,,
CL,P10MA,IW - P10MA clip 4.wav.mp3,clip 4,,,,
CL,P10MA,IW - P10MA clip 5.wav.mp3,clip 5,,,,
CL,P10MA,IW - P10MA clip 6.wav.mp3,clip 6,,,,
CL,P10MA,IW - P10MA clip 7.wav.mp3,clip 7,,,,
CL,P10MA,IW - P10MA clip 8.wav.mp3,clip 8,,,,
CL,P10MA,IW - P10MA clip 9.wav.mp3,clip 9,,,,
AN,P10ME,IW-P10ME clip 1.wav.mp3,clip 1,,,,
